Date,^GSPC
1962-07-23,2770000
1962-07-24,2560000
1962-07-25,2910000
1962-07-26,2790000
1962-07-27,2890000
1962-07-30,3200000
1962-07-31,4190000
1962-08-01,3100000
1962-08-02,3410000
1962-08-03,5990000
1962-08-06,3110000
1962-08-07,2970000
1962-08-08,3080000
1962-08-09,2670000
1962-08-10,2470000
1962-08-13,2670000
1962-08-14,3640000
1962-08-15,4880000
1962-08-16,4180000
1962-08-17,3430000
1962-08-20,4580000
1962-08-21,3730000
1962-08-22,4520000
1962-08-23,4770000
1962-08-24,2890000
1962-08-27,3140000
1962-08-28,3180000
1962-08-29,2900000
1962-08-30,2260000
1962-08-31,2830000
1962-09-04,2970000
1962-09-05,3050000
1962-09-06,3180000
1962-09-07,2890000
1962-09-10,2520000
1962-09-11,3040000
1962-09-12,3100000
1962-09-13,3100000
1962-09-14,2880000
1962-09-17,3330000
1962-09-18,3690000
1962-09-19,2950000
1962-09-20,3350000
1962-09-21,4280000
1962-09-24,5000000
1962-09-25,3620000
1962-09-26,3550000
1962-09-27,3540000
1962-09-28,2850000
1962-10-01,3090000
1962-10-02,3000000
1962-10-03,2610000
1962-10-04,2530000
1962-10-05,2730000
1962-10-08,1950000
1962-10-09,2340000
1962-10-10,3040000
1962-10-11,2460000
1962-10-12,2020000
1962-10-15,2640000
1962-10-16,2860000
1962-10-17,3240000
1962-10-18,3280000
1962-10-19,4650000
1962-10-22,5690000
1962-10-23,6110000
1962-10-24,6720000
1962-10-25,3950000
1962-10-26,2580000
1962-10-29,4280000
1962-10-30,3830000
1962-10-31,3090000
1962-11-01,3400000
1962-11-02,5470000
1962-11-05,4320000
1962-11-07,4580000
1962-11-08,4160000
1962-11-09,4340000
1962-11-12,5090000
1962-11-13,4550000
1962-11-14,5090000
1962-11-15,5050000
1962-11-16,4000000
1962-11-19,3410000
1962-11-20,4290000
1962-11-21,5100000
1962-11-23,5660000
1962-11-26,5650000
1962-11-27,5500000
1962-11-28,5980000
1962-11-29,5810000
1962-11-30,4570000
1962-12-03,3810000
1962-12-04,5210000
1962-12-05,6280000
1962-12-06,4600000
1962-12-07,3900000
1962-12-10,4270000
1962-12-11,3700000
1962-12-12,3760000
1962-12-13,3380000
1962-12-14,3280000
1962-12-17,3590000
1962-12-18,3620000
1962-12-19,4000000
1962-12-20,4220000
1962-12-21,3470000
1962-12-24,3180000
1962-12-26,3370000
1962-12-27,3670000
1962-12-28,4140000
1962-12-31,5420000
1963-01-02,2540000
1963-01-03,4570000
1963-01-04,5400000
1963-01-07,4440000
1963-01-08,5410000
1963-01-09,5110000
1963-01-10,4520000
1963-01-11,4410000
1963-01-14,5000000
1963-01-15,5930000
1963-01-16,4260000
1963-01-17,5230000
1963-01-18,4760000
1963-01-21,4090000
1963-01-22,4810000
1963-01-23,4820000
1963-01-24,4810000
1963-01-25,4770000
1963-01-28,4720000
1963-01-29,4360000
1963-01-30,3740000
1963-01-31,4270000
1963-02-01,4280000
1963-02-04,3670000
1963-02-05,4050000
1963-02-06,4340000
1963-02-07,4240000
1963-02-08,3890000
1963-02-11,3880000
1963-02-12,3710000
1963-02-13,4960000
1963-02-14,5640000
1963-02-15,4410000
1963-02-18,4700000
1963-02-19,4130000
1963-02-20,4120000
1963-02-21,3980000
1963-02-25,3680000
1963-02-26,3670000
1963-02-27,3680000
1963-02-28,4090000
1963-03-01,3920000
