Date,rf_monthly
1965-02-28,0.0032657003831570997
1965-03-31,0.0032174491016419005
1965-04-30,0.0032013596666602417
1965-05-31,0.0031691720868141093
1965-06-30,0.003120869694057893
1965-07-31,0.003120869694057893
1965-08-31,0.003193313884616078
1965-09-30,0.0032898164547059405
1965-10-31,0.0033219613010693205
1965-11-30,0.00337818772890075
1965-12-31,0.003666805079804991
1966-01-31,0.003778799435391722
1966-02-28,0.0037867935570847777
1966-03-31,0.003690815553889726
1966-04-30,0.003794787359673979
1966-05-31,0.0037867935570847777
1966-06-30,0.0037388171745000864
1966-07-31,0.003890656128000103
1966-08-31,0.004121924273690958
1966-09-30,0.00434466326106997
1966-10-31,0.00424927001374531
1966-11-30,0.004201536176205778
1966-12-31,0.003922590017307215
1967-01-31,0.003682813018949904
1967-02-28,0.003706818900031994
1967-03-31,0.003281778664320667
1967-04-30,0.0030564266796293538
1967-05-31,0.0028385944476425617
1967-06-30,0.0032737397821989145
1967-07-31,0.0033701573396354156
1967-08-31,0.003578713468476158
1967-09-30,0.0035867251387016186
1967-10-31,0.0037228194398923886
1967-11-30,0.004034270721523292
1967-12-31,0.004105993558082721
1968-01-31,0.0039784476414435055
1968-02-29,0.004090060061740175
1968-03-31,0.00420949373892876
1968-04-30,0.004479632969585756
1968-05-31,0.004614403103338827
1968-06-30,0.004312876711426439
1968-07-31,0.00420949373892876
1968-08-31,0.0042174502286933535
1968-09-30,0.004201536176205778
1968-10-31,0.004455829121975841
1968-11-30,0.004487565954568229
1968-12-31,0.005064834949770836
1969-01-31,0.005017525580158333
1969-02-28,0.005017525580158333
1969-03-31,0.004859650140781602
1969-04-30,0.004764793974244119
1969-05-31,0.004930727871300888
1969-06-30,0.005096360926100996
1969-07-31,0.005701126453613536
1969-08-31,0.005614975861196081
1969-09-30,0.005763730345091478
1969-10-31,0.005646312675219756
1969-11-30,0.006052717668111551
1969-12-31,0.006441795652864624
1970-01-31,0.006325245840506977
1970-02-28,0.005536586798481569
1970-03-31,0.005167254816016431
1970-04-30,0.005599303425169122
1970-05-31,0.005599303425169122
1970-06-30,0.005253827860807858
1970-07-31,0.005167254816016431
1970-08-31,0.005127876028858669
1970-09-30,0.004741064722140198
1970-10-31,0.004741064722140198
1970-11-30,0.004105993558082721
1970-12-31,0.003954512736845883
1971-01-31,0.003394246004011503
1971-02-28,0.0027901165676063044
1971-03-31,0.0029838738087490935
1971-04-30,0.0032174491016419005
1971-05-31,0.0035466589859134423
1971-06-30,0.00424927001374531
1971-07-31,0.0043208241968892835
1971-08-31,0.0036267740859106112
1971-09-30,0.003754812104882932
1971-10-31,0.0035226105397234697
1971-11-30,0.0035466589859134423
1971-12-31,0.0030161266563670797
1972-01-31,0.0027496984397472612
1972-02-29,0.0028385944476425617
1972-03-31,0.0031369733344706052
1972-04-30,0.002975808813939551
1972-05-31,0.003120869694057893
1972-06-30,0.0033219613010693205
1972-07-31,0.0031128168073322193
1972-08-31,0.0037148197114245107
1972-09-30,0.0037148197114245107
1972-10-31,0.003882671099830315
1972-11-30,0.0039784476414435055
1972-12-31,0.004185619349062586
1973-01-31,0.004614403103338827
1973-02-28,0.004748975032083713
1973-03-31,0.005183001505421725
1973-04-30,0.005049067881564007
1973-05-31,0.0055914663863427805
1973-06-30,0.006060515275193579
1973-07-31,0.0066821952686073605
1973-08-31,0.006945135845977557
1973-09-30,0.0056384796654329605
1973-10-31,0.005935670733408838
1973-11-30,0.005888810055798777
1973-12-31,0.0060137185413891014
1974-01-31,0.006029320113339898
1974-02-28,0.0060137185413891014
1974-03-31,0.006651211404115953
1974-04-30,0.007130287005964853
1974-05-31,0.006496134526176478
1974-06-30,0.005920053175511253
1974-07-31,0.006177402649164332
1974-08-31,0.007153405146358871
1974-09-30,0.004962300148031673
1974-10-31,0.006278584383597963
1974-11-30,0.006021519474063153
1974-12-31,0.005701126453613536
1975-01-31,0.004614403103338827
1975-02-28,0.004392322346233213
1975-03-31,0.004495498628682704
1975-04-30,0.004471698917043021
1975-05-31,0.004233361507536282
1975-06-30,0.004756885034190139
1975-07-31,0.005064834949770836
1975-08-31,0.005151505412624324
1975-09-30,0.005324599741809655
1975-10-31,0.004479632969585756
1975-11-30,0.0045034302355528855
1975-12-31,0.004233361507536282
1976-01-31,0.0038587110607499753
1976-02-29,0.0040741237836483535
1976-03-31,0.004050213958466609
1976-04-30,0.0040023758906990725
1976-05-31,0.004463764175081986
1976-06-30,0.004368495723846122
1976-07-31,0.00420949373892876
1976-08-31,0.00414581532528846
1976-09-30,0.004121924273690958
1976-10-31,0.003986424294782243
1976-11-30,0.003610756692909556
1976-12-31,0.0035466589859134423
1977-01-31,0.0038507228559672146
1977-02-28,0.003834744729373174
1977-03-31,0.003706818900031994
1977-04-30,0.003826754807372268
1977-05-31,0.004098027347509081
1977-06-30,0.0040581847227914025
1977-07-31,0.004392322346233213
1977-08-31,0.004519291760998412
1977-09-30,0.004780610177304023
1977-10-31,0.005009638114994885
1977-11-30,0.004899144679702205
1977-12-31,0.004970191700827131
1978-01-31,0.00519874548181809
1978-02-28,0.00519874548181809
1978-03-31,0.005238093372219366
1978-04-30,0.005143629505097502
1978-05-31,0.0053796067157425576
1978-06-30,0.005661977428577325
1978-07-31,0.005465979309207558
1978-08-31,0.0060761088669936125
1978-09-30,0.006418497417057578
1978-10-31,0.007014611604140075
1978-11-30,0.007215023530395159
1978-12-31,0.0074073143483912585
1979-01-31,0.007430361931931806
1979-02-28,0.007553185496270931
1979-03-31,0.007545513664041215
1979-04-30,0.007637531807382025
1979-05-31,0.00764519520605389
1979-06-30,0.007168813263034535
1979-07-31,0.0073458252651124045
1979-08-31,0.007828938575356048
1979-09-30,0.00806572856926957
1979-10-31,0.009578881545219353
1979-11-30,0.0091049260075311
1979-12-31,0.009518832298407887
1980-01-31,0.009488792934583046
1980-02-29,0.010986242018490522
1980-03-31,0.011156045580669405
1980-04-30,0.008271468382958114
1980-05-31,0.006239681461285729
1980-06-30,0.0063407943721052185
1980-07-31,0.006914240879709377
1980-08-31,0.007943590695159486
1980-09-30,0.00906720527550986
1980-10-31,0.010020536232943966
1980-11-30,0.011332898305250083
1980-12-31,0.01120029101968778
1981-01-31,0.011413842773966287
1981-02-28,0.011141292836211791
1981-03-31,0.009833653820621624
1981-04-30,0.011612221609209383
1981-05-31,0.011788200671837945
1981-06-30,0.011185544671726166
1981-07-31,0.011619560942687679
1981-08-31,0.012095355362848448
1981-09-30,0.011229775918154772
1981-10-31,0.010050402122422808
1981-11-30,0.008256243901844984
1981-12-31,0.008795158422361116
1982-01-31,0.009878540618617482
1982-02-28,0.009818686438265445
1982-03-31,0.010430343783808471
1982-04-30,0.009743815042524417
1982-05-31,0.009112468436904608
1982-06-30,0.010057867255178543
1982-07-31,0.008103863477002093
1982-08-31,0.006759609437249514
1982-09-30,0.006138456662124092
1982-10-31,0.00635634026158316
1982-11-30,0.006651211404115953
1982-12-31,0.006371883509879606
1983-01-31,0.006511654415974233
1983-02-28,0.006379653958619169
1983-03-31,0.006929690034544356
1983-04-30,0.006496134526176478
1983-05-31,0.006921965783050821
1983-06-30,0.007045472720662138
1983-07-31,0.007376574967431271
1983-08-31,0.0074073143483912585
1983-09-30,0.006983740080592549
1983-10-31,0.006829226100273811
1983-11-30,0.007114872403895411
1983-12-31,0.007184219521773061
1984-01-31,0.007122580396855094
1984-02-29,0.007315065234185791
1984-03-31,0.007760078082265309
1984-04-30,0.007760078082265309
1984-05-31,0.007783037087879974
1984-06-30,0.007913030772777052
1984-07-31,0.008279078949525953
1984-08-31,0.00845396085322414
1984-09-30,0.008141982522946734
1984-10-31,0.007215023530395159
1984-11-30,0.006775083973629359
1984-12-31,0.006317470398234715
1985-01-31,0.006472850494813054
1985-02-28,0.006821493365962272
1985-03-31,0.006573706186073336
1985-04-30,0.006317470398234715
1985-05-31,0.005763730345091478
1985-06-30,0.005520900916342608
1985-07-31,0.00587318449207741
1985-08-31,0.005763730345091478
1985-09-30,0.005685468780534553
1985-10-31,0.005802836207488671
1985-11-30,0.005779374622545852
1985-12-31,0.005693298138918612
1986-01-31,0.005630645610892104
1986-02-28,0.005669808425452061
1986-03-31,0.005135753294267298
1986-04-30,0.004946515373531746
1986-05-31,0.005104240908742508
1986-06-30,0.004835945520321738
1986-07-31,0.004701501761077198
1986-08-31,0.00420949373892876
1986-09-30,0.004233361507536282
1986-10-31,0.004233361507536282
1986-11-30,0.004384380703357227
1986-12-31,0.004606481129255879
1987-01-31,0.0045510065492730956
1987-02-28,0.004432019067542425
1987-03-31,0.004558933714678304
1987-04-30,0.004495498628682704
1987-05-31,0.004614403103338827
1987-06-30,0.004654003802420981
1987-07-31,0.004922833285212702
1987-08-31,0.005064834949770836
1987-09-30,0.005348178320220498
1987-10-31,0.00428902934516695
1987-11-30,0.004241316296801356
1987-12-31,0.004614403103338827
1988-01-31,0.004582710327390327
1988-02-29,0.004566859814101765
1988-03-31,0.004638165658750193
1988-04-30,0.004851749409659378
1988-05-31,0.005206616265292396
1988-06-30,0.005308877434352821
1988-07-31,0.005614975861196081
1988-08-31,0.005888810055798777
1988-09-30,0.005849740952645677
1988-10-31,0.005935670733408838
1988-11-30,0.0063019179016639
1988-12-31,0.006511654415974233
1989-01-31,0.006736392356757381
1989-02-28,0.006983740080592549
1989-03-31,0.007130287005964853
1989-04-30,0.0067518708187928045
1989-05-31,0.006906515324404783
1989-06-30,0.00642626390798684
1989-07-31,0.006278584383597963
1989-08-31,0.00634856746172896
1989-09-30,0.006364112030530222
1989-10-31,0.006255244541376159
1989-11-30,0.006115081404937328
1989-12-31,0.006083904851885258
1990-01-31,0.00623189874265373
1990-02-28,0.006255244541376159
1990-03-31,0.006278584383597963
1990-04-30,0.006270804974175093
1990-05-31,0.006239681461285729
1990-06-30,0.00623189874265373
1990-07-31,0.006037119715427641
1990-08-31,0.005959091884372825
1990-09-30,0.005763730345091478
1990-10-31,0.005740259095404321
1990-11-30,0.005669808425452061
1990-12-31,0.005214486746182301
1991-01-31,0.005017525580158333
1991-02-28,0.004899144679702205
1991-03-31,0.00466192165565027
1991-04-30,0.004479632969585756
1991-05-31,0.004495498628682704
1991-06-30,0.0045034302355528855
1991-07-31,0.004495498628682704
1991-08-31,0.004336717471618012
1991-09-30,0.004161739093464956
1991-10-31,0.003930571934329441
1991-11-30,0.003554673471379388
1991-12-31,0.0031772201907669384
1992-01-31,0.003145024088419879
1992-02-29,0.0032174491016419005
1992-03-31,0.0033139263430650434
1992-04-30,0.003032248803049642
1992-05-31,0.003032248803049642
1992-06-30,0.0029274036661244285
1992-07-31,0.0026121432562891123
1992-08-31,0.002595946637582669
1992-09-30,0.002214494694370517
1992-10-31,0.0024338217532033912
1992-11-30,0.0026849924455234486
1992-12-31,0.0025311311720703777
1993-01-31,0.0023851280513444983
1993-02-28,0.002425707942887989
1993-03-31,0.00237700990410028
1993-04-30,0.0023932454754307386
1993-05-31,0.0025149201492484785
1993-06-30,0.0024905982071219412
1993-07-31,0.0024905982071219412
1993-08-31,0.0024743799722102278
1993-09-30,0.00240136217649356
1993-10-31,0.0024905982071219412
1993-11-30,0.0025797471402013716
1993-12-31,0.0024662697723036864
1994-01-31,0.0024419348411681696
1994-02-28,0.0027577834605203577
1994-03-31,0.0028466715886812377
1994-04-30,0.0031611234644606245
1994-05-31,0.0034103014526649655
1994-06-30,0.003386217028398697
1994-07-31,0.003490536335453376
1994-08-31,0.0037228194398923886
1994-09-30,0.0038107724833256196
1994-10-31,0.004090060061740175
1994-11-30,0.00451136153173981
1994-12-31,0.004495498628682704
1995-01-31,0.004741064722140198
1995-02-28,0.004669839200035719
1995-03-31,0.004630245367994279
1995-04-30,0.004622324768027264
1995-05-31,0.004574785603579157
1995-06-30,0.004416142374201071
1995-07-31,0.004408203181496484
1995-08-31,0.00428902934516695
1995-09-30,0.004265175748330519
1995-10-31,0.0043208241968892835
1995-11-30,0.004328771369539242
1995-12-31,0.004042242878153024
1996-01-31,0.0040023758906990725
1996-02-29,0.0039784476414435055
1996-03-31,0.0040741237836483535
1996-04-30,0.0040820924604518805
1996-05-31,0.004105993558082721
1996-06-30,0.004098027347509081
1996-07-31,0.0042174502286933535
1996-08-31,0.004185619349062586
1996-09-30,0.0040023758906990725
1996-10-31,0.0040820924604518805
1996-11-30,0.0040661544111202375
1996-12-31,0.004113959453324378
1997-01-31,0.0040820924604518805
1997-02-28,0.004129888778912738
1997-03-31,0.00420949373892876
1997-04-30,0.004153777366761924
1997-05-31,0.003930571934329441
1997-06-30,0.004113959453324378
1997-07-31,0.004153777366761924
1997-08-31,0.00414581532528846
1997-09-30,0.004050213958466609
1997-10-31,0.004121924273690958
1997-11-30,0.004121924273690958
1997-12-31,0.004233361507536282
1998-01-31,0.004105993558082721
1998-02-28,0.0042174502286933535
1998-03-31,0.0040661544111202375
1998-04-30,0.003954512736845883
1998-05-31,0.003986424294782243
1998-06-30,0.004050213958466609
1998-07-31,0.004034270721523292
1998-08-31,0.003882671099830315
1998-09-30,0.003474495003497502
1998-10-31,0.003442403874759359
1998-11-30,0.003610756692909556
1998-12-31,0.003554673471379388
1999-01-31,0.0035626876349779124
1999-02-28,0.0037148197114245107
1999-03-31,0.0035626876349779124
1999-04-30,0.0036187655499613225
1999-05-31,0.003682813018949904
1999-06-30,0.0038107724833256196
1999-07-31,0.0037708042320689916
1999-08-31,0.003954512736845883
1999-09-30,0.003842734332838882
1999-10-31,0.004042242878153024
1999-11-30,0.004193578299272804
1999-12-31,0.00420949373892876
2000-01-31,0.004495498628682704
2000-02-29,0.004582710327390327
2000-03-31,0.004646084885099322
2000-04-30,0.004590634741439059
2000-05-31,0.004463764175081986
2000-06-30,0.004630245367994279
2000-07-31,0.004883348988361291
2000-08-31,0.004954408289855827
2000-09-30,0.004891247363729256
2000-10-31,0.004985972385545212
2000-11-30,0.004875450306705664
2000-12-31,0.004654003802420981
2001-01-31,0.003946533293938126
2001-02-28,0.0038507228559672146
2001-03-31,0.003418327926032916
2001-04-30,0.0031369733344706052
2001-05-31,0.0029031915482009563
2001-06-30,0.0029193336745443332
2001-07-31,0.0028224380184094233
2001-08-31,0.002693083207103264
2001-09-30,0.001896753774651705
2001-10-31,0.0016597643543720952
2001-11-30,0.0014303602412040206
2001-12-31,0.001381126868189364
2002-01-31,0.0014221565441128181
2002-02-28,0.0014221565441128181
2002-03-31,0.001438563199112064
2002-04-30,0.0014303602412040206
2002-05-31,0.001409849612202807
2002-06-30,0.0013720979375577702
2002-07-31,0.0013770228931380135
2002-08-31,0.0013606051425349985
2002-09-30,0.0012636799784599972
2002-10-31,0.001173233076939395
2002-11-30,0.000996190346025605
2002-12-31,0.0009797037496650507
2003-01-31,0.0009516696199458607
2003-02-28,0.0009739326565731954
2003-03-31,0.0009038268311960529
2003-04-30,0.0009129023340057607
2003-05-31,0.0008997012765636914
2003-06-30,0.0006956654239245186
2003-07-31,0.0007692371373415607
2003-08-31,0.0007965014216100297
2003-09-30,0.0007684108297980607
2003-10-31,0.0007733686117405991
2003-11-30,0.000753535813490247
2003-12-31,0.0007527093633268311
2004-01-31,0.0007444443502186981
2004-02-29,0.0007692371373415607
2004-03-31,0.0007659318128832027
2004-04-30,0.0007898926826925834
2004-05-31,0.000872467903955787
2004-06-30,0.0010794020996929277
2004-07-31,0.0011691196197431974
2004-08-31,0.0012973690653994563
2004-09-30,0.0013844099737305715
2004-10-31,0.0015426765967556655
2004-11-30,0.001800397962053113
2004-12-31,0.001800397962053113
2005-01-31,0.0019962687818269043
2005-02-28,0.002214494694370517
2005-03-31,0.002240516467270748
2005-04-30,0.0023339714320900207
2005-05-31,0.002370514749395758
2005-06-30,0.0025149201492484785
2005-07-31,0.00273514367220673
2005-08-31,0.0028143587299496176
2005-09-30,0.0028466715886812377
2005-10-31,0.003116843435583272
2005-11-30,0.0031587089119493594
2005-12-31,0.003261680322036442
2006-01-31,0.0035707007125651558
2006-02-28,0.0036804118544599973
2006-03-31,0.0036868141833521495
2006-04-30,0.003794787359673979
2006-05-31,0.003846728872280547
